     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V9   X   X   X   X   X   X  82   X  50   X   X  77   6  22   1   X   X   X  10   X  75   X   X  14  14 
V10   4   X   X   X   X   X  35   X   X   X   X   X  10   X   X   X   X   X   X  27   X  33   X   X   X 
V11   X  55   X   X   X   X   X   X  17  77   X   X  61   X  31   X   X  33   X   X   X  10   X   X   X 
V12   X   X   X   X   X   X   X  37   X   6  10  61   X  44   X   X   X   X  83   X   X   X   X  63  72 
V13   X   X   X   X  63  33   X  28   X  22   X   X  44   X  39   X   X  81   X  35   X   X   X   X   X 
V14  28   X   X   X   X   9   X   X   X   1   X  31   X  39   X  46   X  57   X  96  94  64  55   X  85 
V15  54  84   X   X   X  15  14  85  95   X   X   X   X   X  46   X   X  67   X   X   X   X   X   X   X 
V16   X   X   X   X   X  35   X   X   X   X   X   X   X   X   X   X   X   X   X  63   X   X   X   X   X 
V17   X  50   1   X   X   X  65  58 100   X   X  33   X  81  57  67   X   X   X  45   X  25   X   X  15 
V18   X   X  45  62   X   X   X   X  20  10   X   X  83   X   X   X   X   X   X  80   4  54  79  93  28 
V19   X   X   X  89   X   X  99  14  81   X  27   X   X  35  96   X  63  45  80   X   X   X   X   X  61 
V20   X 100   X  60   X   X   X  33  92  75   X   X   X   X  94   X   X   X   4   X   X   X   X   X  69 
V21   X  51  23   X  88  77   X  40  94   X  33  10   X   X  64   X   X  25  54   X   X   X   X   X   X 
V22  35   X   X   X   X   X   X  45   X   X   X   X   X   X  55   X   X   X  79   X   X   X   X   X   X 
V23   X   X   X   X   X   X   X   X  17  14   X   X  63   X   X   X   X   X  93   X   X   X   X   X   X 
V24  59  76  74  16   X   X  10   X   X  14   X   X  72   X  85   X   X  15  28  61  69   X   X   X   X 
(V9-V14,1)(V17-V2,1)(V0-V10,4)(V20-V18,4)(V1-V4,5)(V5-V3,6)(V12-V9,6)(V5-V14,9)(V6-V24,10)(V10-V12,10)(V11-V21,10)(V18-V9,10)(V7-V6,11)(V9-V23,14)(V15-V6,14)(V7-V19,14)(V24-V9,14)(V24-V17,15)(V8-V11,17)(V8-V23,17)(V1-V5,20)(V9-V13,22)(V0-V22,35)(V16-V5,35)最小生成树总权值为304
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X  67   X   X  87  20   X  53   X   X   1   X   X  53   X  51   X   X   X   X   X  73  37   X   X 
 V1  67   X  30   X   X   X   X  30   X  29   X  74  71   X   X   X   X   X  27   X  75   X   X   X  47 
 V2   X  30   X  65   X   X   X   X  98  31   8   X   X  58  95  18  10  53   X   X   X  71   X   7   X 
 V3   X   X  65   X  59   X   X   X   X   X   X   X  46  63   X   X  87   X   X  22   X   X  61   X  55 
 V4  87   X   X  59   X   X   X   X   X   X  37   X   X   X   X   X   X   X   X   X  31   X   X   X   X 
 V5  20   X   X   X   X   X   X   X   2   X   X   3   X   X   X  46   X  60  52   X  62   X  43   X   X 
 V6   X   X   X   X   X   X   X   X   X   X  27   X  10   X   X   X   X  60   X   X  41   X   X  63  76 
 V7  53  30   X   X   X   X   X   X  36   X  84   X   X   X  64   X   X  43   X   X   X   X  11   X   X 
 V8   X   X  98   X   X   2   X  36   X 100   X  39   X  83   X   X   X   X   X   X   X  42   X   X   X 
 V9   X  29  31   X   X   X   X   X 100   X  58   X   X   X  43   X   X   X   X   X  54   X   X   X  73 
V10   1   X   8   X  37   X  27  84   X  58   X  52  39   X   X  14   X   X   X   X   X   X  87   X   X 
V11   X  74   X   X   X   3   X   X  39   X  52   X   X  60   X   X  13   X   X   X  10   X   X   X   X 
V12   X  71   X  46   X   X  10   X   X   X  39   X   X   X  97   X   X   X   X  20  12  89   X  52  47 
V13  53   X  58  63   X   X   X   X  83   X   X  60   X   X   X   X   X  37   X   X   X   X  10  38   X 
V14   X   X  95   X   X   X   X  64   X  43   X   X  97   X   X   X   X  20   X  18   X   X  28  81   X 
V15  51   X  18   X   X  46   X   X   X   X  14   X   X   X   X   X   X   X  54   X   X   X  51   X   X 
V16   X   X  10  87   X   X   X   X   X   X   X  13   X   X   X   X   X   X  22   X   X   X   X   X  22 
V17   X   X  53   X   X  60  60  43   X   X   X   X   X  37  20   X   X   X   X   X   6   X   X  34  99 
V18   X  27   X   X   X  52   X   X   X   X   X   X   X   X   X  54  22   X   X   X   9   X   8   X   X 
V19   X   X   X  22   X   X   X   X   X   X   X   X  20   X  18   X   X   X   X   X   7  94   X   X  20 
V20   X  75   X   X  31  62  41   X   X  54   X  10  12   X   X   X   X   6   9   7   X   X   X  23   X 
V21  73   X  71   X   X   X   X   X  42   X   X   X  89   X   X   X   X   X   X  94   X   X  74   X   X 
V22  37   X   X  61   X  43   X  11   X   X  87   X   X  10  28  51   X   X   8   X   X  74   X  91  33 
V23   X   X   7   X   X   X  63   X   X   X   X   X  52  38  81   X   X  34   X   X  23   X  91   X  43 
V24   X  47   X  55   X   X  76   X   X  73   X   X  47   X   X   X  22  99   X  20   X   X  33  43   X 
(V0-V10,1)(V5-V8,2)(V5-V11,3)(V20-V17,6)(V23-V2,7)(V19-V20,7)(V18-V22,8)(V10-V2,8)(V20-V18,9)(V2-V16,10)(V20-V11,10)(V22-V13,10)(V6-V12,10)(V7-V22,11)(V12-V20,12)(V11-V16,13)(V10-V15,14)(V14-V19,18)(V24-V19,20)(V3-V19,22)(V18-V1,27)(V1-V9,29)(V4-V20,31)(V21-V8,42)最小生成树总权值为330
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X   X   X   X  35   X   X   X  34   X   X  92   X   X  23   X   6  20   X  80   X   X   X   X  68 
 V1   X   X   X   X   X  23   X   X   X   X   X   X  15  24   X   X   X  31  44   X   X  10  20  50   X 
 V2   X   X   X   X  47   X   X   X   X   X   X  55   X   X   X   X   X   X  25   X  58   X   X   X   X 
 V3   X   X   X   X   X   X   X  13   X   X   X   X  56   X   X   X   X   X   X   3   X   X  16  48  30 
 V4  35   X  47   X   X  92   X   X   X   X  63  99   X   X   X   X   X   X   X  54   X   X   X   X  91 
 V5   X  23   X   X  92   X   X   X  55   X   X   X   X  51   X   X   X   X   X   X   X   X  14   X   X 
 V6   X   X   X   X   X   X   X   X   6   X  31   X  21  51  43  46   X  65  66   X  28   X   X  29  21 
 V7   X   X   X  13   X   X   X   X   X   X  18   X  76  28  62   X  74   X  16   X   X   X   X   X   X 
 V8  34   X   X   X   X  55   6   X   X  30   X  63   X   X   X   X   X  66   X  84   5  13  99  92  77 
 V9   X   X   X   X   X   X   X   X  30   X  79   X   3  44  85   2  51  51  33   X   X  73   X   X  76 
V10   X   X   X   X  63   X  31  18   X  79   X   X  34   X  20   9   X  76   X 100   X   X   X   X   X 
V11  92   X  55   X  99   X   X   X  63   X   X   X   X  93   X   8   X   X   X  44   X   X  79  82   X 
V12   X  15   X  56   X   X  21  76   X   3  34   X   X   X  21   X   X   X  14  94  70   X   X   X   X 
V13   X  24   X   X   X  51  51  28   X  44   X  93   X   X   5   X   X   X  78   X   X   X   X   X  28 
V14  23   X   X   X   X   X  43  62   X  85  20   X  21   5   X   X   X   X  35   X   X  94   X  37   7 
V15   X   X   X   X   X   X  46   X   X   2   9   8   X   X   X   X  58  68   X   X   X   X   X  36   X 
V16   6   X   X   X   X   X   X  74   X  51   X   X   X   X   X  58   X   X   X   X   X   X   X   X   X 
V17  20  31   X   X   X   X  65   X  66  51  76   X   X   X   X  68   X   X  21   X   X   X   X   X   X 
V18   X  44  25   X   X   X  66  16   X  33   X   X  14  78  35   X   X  21   X   X   X   X   X  38   X 
V19  80   X   X   3  54   X   X   X  84   X 100  44  94   X   X   X   X   X   X   X  86   X   X   X  43 
V20   X   X  58   X   X   X  28   X   5   X   X   X  70   X   X   X   X   X   X  86   X   X   X   X   X 
V21   X  10   X   X   X   X   X   X  13  73   X   X   X   X  94   X   X   X   X   X   X   X   X  66   X 
V22   X  20   X  16   X  14   X   X  99   X   X  79   X   X   X   X   X   X   X   X   X   X   X  16   X 
V23   X  50   X  48   X   X  29   X  92   X   X  82   X   X  37  36   X   X  38   X   X  66  16   X   X 
V24  68   X   X  30  91   X  21   X  77  76   X   X   X  28   7   X   X   X   X  43   X   X   X   X   X 
(V9-V15,2)(V12-V9,3)(V3-V19,3)(V14-V13,5)(V20-V8,5)(V16-V0,6)(V6-V8,6)(V14-V24,7)(V11-V15,8)(V10-V15,9)(V1-V21,10)(V21-V8,13)(V3-V7,13)(V12-V18,14)(V22-V5,14)(V1-V12,15)(V23-V22,16)(V18-V7,16)(V22-V3,16)(V17-V0,20)(V10-V14,20)(V17-V18,21)(V18-V2,25)(V0-V4,35)最小生成树总权值为302
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X   X  41  55   X  62   X   X   X   X   X   X  32   X   X  39  43   X   X  46  86   X   X  75   X 
 V1   X   X   X   X  74   X   X  27  55  35  63   X   X   X   X  15   X   X  16   X   X  27   X   X  54 
 V2  41   X   X   X   X   X  72   X  80   X   X  95  20  91   X  75  42  65   X  35  58   X   X   X   X 
 V3  55   X   X   X   X   X   X   X  53   X   X  94   X   X  62   X  11  58   X  34   X   X  42   X   X 
 V4   X  74   X   X   X  70   X  56   X   X   X   X   X  63   X   X  22   X  84   X   X   X  78  86   X 
 V5  62   X   X   X  70   X   X   X   X   X   X  64   X  65   X   X   X   6   X   X   X   X   X   6   X 
 V6   X   X  72   X   X   X   X  62   X  12   X   5   X   X   X   7  51   X   X   X  77   X   X   X  61 
 V7   X  27   X   X  56   X  62   X   X 100   X   X   X   X   X   X   X  86   X   X  25   X   X   X   X 
 V8   X  55  80  53   X   X   X   X   X   X   X  34   4   X  15  84  12   X   X   X   X  83  49   X   X 
 V9   X  35   X   X   X   X  12 100   X   X  74   3   X   X  58   X  48   X   X   X   X  85   X   X   X 
V10   X  63   X   X   X   X   X   X   X  74   X   X  33   X   X  33   X   X  42   X   X   X   X   X   X 
V11   X   X  95  94   X  64   5   X  34   3   X   X   X   X   X   X   X   X   X   2   2   X  80   X   X 
V12  32   X  20   X   X   X   X   X   4   X  33   X   X  90  95   X   X  81  86   X   X   X   X  41  23 
V13   X   X  91   X  63  65   X   X   X   X   X   X  90   X   X   X   X   X   X  14   X   X   X   X  48 
V14   X   X   X  62   X   X   X   X  15  58   X   X  95   X   X   X   X   X  12   X   X  95   X   X  43 
V15  39  15  75   X   X   X   7   X  84   X  33   X   X   X   X   X   X   X   X   X  65  15  62  99   X 
V16  43   X  42  11  22   X  51   X  12  48   X   X   X   X   X   X   X   X   X   X   X  85   X   X  28 
V17   X   X  65  58   X   6   X  86   X   X   X   X  81   X   X   X   X   X   X  67   X   X   X  62   X 
V18   X  16   X   X  84   X   X   X   X   X  42   X  86   X  12   X   X   X   X   X   X  15   X   X  90 
V19  46   X  35  34   X   X   X   X   X   X   X   2   X  14   X   X   X  67   X   X   X   X  89   X   X 
V20  86   X  58   X   X   X  77  25   X   X   X   2   X   X   X  65   X   X   X   X   X  21   X   X  83 
V21   X  27   X   X   X   X   X   X  83  85   X   X   X   X  95  15  85   X  15   X  21   X   X  55  18 
V22   X   X   X  42  78   X   X   X  49   X   X  80   X   X   X  62   X   X   X  89   X   X   X   X   X 
V23  75   X   X   X  86   6   X   X   X   X   X   X  41   X   X  99   X  62   X   X   X  55   X   X   X 
V24   X  54   X   X   X   X  61   X   X   X   X   X  23  48  43   X  28   X  90   X  83  18   X   X   X 
(V11-V19,2)(V20-V11,2)(V11-V9,3)(V8-V12,4)(V11-V6,5)(V17-V5,6)(V5-V23,6)(V15-V6,7)(V3-V16,11)(V18-V14,12)(V8-V16,12)(V13-V19,14)(V15-V1,15)(V14-V8,15)(V21-V18,15)(V15-V21,15)(V24-V21,18)(V12-V2,20)(V4-V16,22)(V7-V20,25)(V12-V0,32)(V10-V15,33)(V12-V23,41)(V22-V3,42)最小生成树总权值为377
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X   X   X   X   X   X   X  32   X  34   X   X   X   X   X   X   X  70   X   X   X   X   X  44   X 
 V1   X   X   X   X  28  45   X   X   X   X  86   X   X  55   X   X   X   X   6  62   X   X  20   X   X 
 V2   X   X   X   X   X  76   X   X   X   X  90  27   X   X  45   X  31  22  58   X   X   X   X   X   X 
 V3   X   X   X   X  77   X   X   X  41   X   X   X   X   X   X   X   X   X   X  57  45   X   X   X   X 
 V4   X  28   X  77   X   X   X   8   X   X  75   X  32   X   3  55   X   X   X   X   X  12   X  35   X 
 V5   X  45  76   X   X   X   X   X   X  72  77   X   X   X   X   X   X  52  97  11  23  29   X   X  19 
 V6   X   X   X   X   X   X   X   X  56   8   X  86  84  74   X   X   X  41   X  31  64   X   X   X  48 
 V7  32   X   X   X   8   X   X   X  23   5   X   X  80   X  57  54  49   X  47   X  22   X   X  47  20 
 V8   X   X   X  41   X   X  56  23   X  23   X   X   X  90   X   X  24   X   X  11  71  36   X   X   X 
 V9  34   X   X   X   X  72   8   5  23   X   X   X   X  72   X   X   X   X   X   X  24   X   1   X   2 
V10   X  86  90   X  75  77   X   X   X   X   X   X   X   X  24   X  76   X   X   X   X   X   X  72   X 
V11   X   X  27   X   X   X  86   X   X   X   X   X  11  84   X   X   X   X   X   X   X   X   X   X  60 
V12   X   X   X   X  32   X  84  80   X   X   X  11   X  35   X  47  97  90  40   X   X   X  27  46   X 
V13   X  55   X   X   X   X  74   X  90  72   X  84  35   X   X   X   X   X   X   X   X   X   X   X   X 
V14   X   X  45   X   3   X   X  57   X   X  24   X   X   X   X  61   X  32   X   X   X   4   X  75   X 
V15   X   X   X   X  55   X   X  54   X   X   X   X  47   X  61   X  39  33  91   X   X   X  54  54   X 
V16   X   X  31   X   X   X   X  49  24   X  76   X  97   X   X  39   X  52   X  37   X  66  51   X   X 
V17  70   X  22   X   X  52  41   X   X   X   X   X  90   X  32  33  52   X  97  15   X   X   X   X   X 
V18   X   6  58   X   X  97   X  47   X   X   X   X  40   X   X  91   X  97   X  72   X   8   X   X   X 
V19   X  62   X  57   X  11  31   X  11   X   X   X   X   X   X   X  37  15  72   X   X   X   X   X   X 
V20   X   X   X  45   X  23  64  22  71  24   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X 
V21   X   X   X   X  12  29   X   X  36   X   X   X   X   X   4   X  66   X   8   X   X   X   X  53   X 
V22   X  20   X   X   X   X   X   X   X   1   X   X  27   X   X  54  51   X   X   X   X   X   X  66  12 
V23  44   X   X   X  35   X   X  47   X   X  72   X  46   X  75  54   X   X   X   X   X  53  66   X  42 
V24   X   X   X   X   X  19  48  20   X   2   X  60   X   X   X   X   X   X   X   X   X   X  12  42   X 
(V9-V22,1)(V24-V9,2)(V14-V4,3)(V14-V21,4)(V9-V7,5)(V18-V1,6)(V18-V21,8)(V6-V9,8)(V4-V7,8)(V19-V5,11)(V8-V19,11)(V11-V12,11)(V17-V19,15)(V5-V24,19)(V20-V7,22)(V2-V17,22)(V10-V14,24)(V16-V8,24)(V12-V22,27)(V0-V7,32)(V17-V15,33)(V4-V23,35)(V12-V13,35)(V3-V8,41)最小生成树总权值为407
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X   X   X   X   X  63  36   X  51  74  89   X   X   X   X  60   X   X   X   X   X   X   X   X   X 
 V1   X   X   X  23   X   X   X   1   X  18  61   X   X   X   X   X   X   X   1  69   X  66   X   X   X 
 V2   X   X   X   X  19   X  25  52  52   3   X   X  30   X   X   X   X   X   X   X  42   X   X   X  54 
 V3   X  23   X   X   X   X  93   X   X   X  90   X   X   X   X   X  26   X  36  16   X   X   X   X   X 
 V4   X   X  19   X   X  85  17  18   X   X  34   X   X  55   X   X   X  84   X   X   X  96  29   X   X 
 V5  63   X   X   X  85   X   X  28   X  14  87   X   X   X  54  60  39   X   X   X   X   X  77   X   X 
 V6  36   X  25  93  17   X   X  63   X  37   X   X   X   8  46   X   X  46   X  45   X   X   X   X   X 
 V7   X   1  52   X  18  28  63   X   X   X  71   X   X  50   X  88  98   X   X  90   X   X   X   X  89 
 V8  51   X  52   X   X   X   X   X   X  10  45   X   X  88   X   X   X   X   X  48  66   X  52   X   X 
 V9  74  18   3   X   X  14  37   X  10   X   X   X  96  85   X  82   X   X   X   X  53   X   X  98  94 
V10  89  61   X  90  34  87   X  71  45   X   X  78 100  56   X   X   X   X   X  86  90   X   X  45  31 
V11   X   X   X   X   X   X   X   X   X   X  78   X   X  57   X   X   X  91  17   X   X  34  63   X  99 
V12   X   X  30   X   X   X   X   X   X  96 100   X   X   X   X   X   X  57   X   X   X   X  95   X  70 
V13   X   X   X   X  55   X   8  50  88  85  56  57   X   X   X   X  92   X   X   X  82   X  45   X   X 
V14   X   X   X   X   X  54  46   X   X   X   X   X   X   X   X   X   X   X  16  98   X   X  56   X   X 
V15  60   X   X   X   X  60   X  88   X  82   X   X   X   X   X   X   X   X   X   X  83  96  35   X   X 
V16   X   X   X  26   X  39   X  98   X   X   X   X   X  92   X   X   X   X 100   X   X   X   X   X   X 
V17   X   X   X   X  84   X  46   X   X   X   X  91  57   X   X   X   X   X   X   X  57   X   X   9   X 
V18   X   1   X  36   X   X   X   X   X   X   X  17   X   X  16   X 100   X   X   9   X  38   X   X   X 
V19   X  69   X  16   X   X  45  90  48   X  86   X   X   X  98   X   X   X   9   X   X   X  37   X  84 
V20   X   X  42   X   X   X   X   X  66  53  90   X   X  82   X  83   X  57   X   X   X   X   X   X   X 
V21   X  66   X   X  96   X   X   X   X   X   X  34   X   X   X  96   X   X  38   X   X   X   X  20   X 
V22   X   X   X   X  29  77   X   X  52   X   X  63  95  45  56  35   X   X   X  37   X   X   X   4   X 
V23   X   X   X   X   X   X   X   X   X  98  45   X   X   X   X   X   X   9   X   X   X  20   4   X   6 
V24   X   X  54   X   X   X   X  89   X  94  31  99  70   X   X   X   X   X   X  84   X   X   X   6   X 
(V18-V1,1)(V1-V7,1)(V2-V9,3)(V22-V23,4)(V23-V24,6)(V13-V6,8)(V17-V23,9)(V19-V18,9)(V8-V9,10)(V5-V9,14)(V19-V3,16)(V18-V14,16)(V11-V18,17)(V4-V6,17)(V7-V4,18)(V1-V9,18)(V21-V23,20)(V16-V3,26)(V4-V22,29)(V12-V2,30)(V24-V10,31)(V22-V15,35)(V0-V6,36)(V2-V20,42)最小生成树总权值为416
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X   X  54  63  62  54   X   X   X   X   8   X   X  93   X   X   X  43   X   X  65  35 100   9   X 
 V1   X   X   X   X   X   X   X  27   X  84   6   X   X   X   X   X   X  32   X   X  12  58   X   X   5 
 V2  54   X   X   X   X  21  83  42 100   X   X   X  72  78   X   X   X   X   X  96   X   X  98   X   X 
 V3  63   X   X   X  55   X   X  71  51   X   X   X   X   X   X   X   X  16   X   X  30   X  28   X   X 
 V4  62   X   X  55   X   X  15   X   X   7   X  56  82   2  14   X   X   X  55   X   X   X  99   X   X 
 V5  54   X  21   X   X   X   X   X   X   X  49  58   X   X   X   X   X  44   X   X  88   X   X   X  39 
 V6   X   X  83   X  15   X   X  89   X   X   X   X   X   X   X   X  56   X   X   X  22  44   X   X   X 
 V7   X  27  42  71   X   X  89   X   X   X   X   4   X   X  41   X  44  57   X  40   X   X   7   X   X 
 V8   X   X 100  51   X   X   X   X   X   X   7   X   X   X   X  72  57   X  95   X   X   X   X   X   X 
 V9   X  84   X   X   7   X   X   X   X   X   X   X   X   X   X   X   X   X   X  23  81   X   X   X   X 
V10   8   6   X   X   X  49   X   X   7   X   X   X  26   X  40  96   X  43  66   X   X   X   X   X   X 
V11   X   X   X   X  56  58   X   4   X   X   X   X  21   X   X  84   X   X   X   X   X   X  59   X  48 
V12   X   X  72   X  82   X   X   X   X   X  26  21   X   X   X   X   X  36   X  64   X   X   X   X   X 
V13  93   X  78   X   2   X   X   X   X   X   X   X   X   X   X  74   X   X  17   X   X   X   X   X  91 
V14   X   X   X   X  14   X   X  41   X   X  40   X   X   X   X   X   X   X  73  34  34  47  51  65   X 
V15   X   X   X   X   X   X   X   X  72   X  96  84   X  74   X   X  56   X  74   X   X   X   X  25   X 
V16   X   X   X   X   X   X  56  44  57   X   X   X   X   X   X  56   X   X   X  71   X  10  78  45   X 
V17  43  32   X  16   X  44   X  57   X   X  43   X  36   X   X   X   X   X  65   X   X   X   X   X  41 
V18   X   X   X   X  55   X   X   X  95   X  66   X   X  17  73  74   X  65   X   X   X  20  22   X   X 
V19   X   X  96   X   X   X   X  40   X  23   X   X  64   X  34   X  71   X   X   X  10   X  72  15  72 
V20  65  12   X  30   X  88  22   X   X  81   X   X   X   X  34   X   X   X   X  10   X   X   X   X  54 
V21  35  58   X   X   X   X  44   X   X   X   X   X   X   X  47   X  10   X  20   X   X   X   X  23  96 
V22 100   X  98  28  99   X   X   7   X   X   X  59   X   X  51   X  78   X  22  72   X   X   X  27   X 
V23   9   X   X   X   X   X   X   X   X   X   X   X   X   X  65  25  45   X   X  15   X  23  27   X   X 
V24   X   5   X   X   X  39   X   X   X   X   X  48   X  91   X   X   X  41   X  72  54  96   X   X   X 
(V13-V4,2)(V7-V11,4)(V24-V1,5)(V1-V10,6)(V4-V9,7)(V10-V8,7)(V7-V22,7)(V10-V0,8)(V23-V0,9)(V20-V19,10)(V21-V16,10)(V1-V20,12)(V4-V14,14)(V6-V4,15)(V17-V3,16)(V13-V18,17)(V18-V21,20)(V11-V12,21)(V5-V2,21)(V22-V18,22)(V20-V6,22)(V23-V15,25)(V3-V22,28)(V5-V24,39)最小生成树总权值为347
